Aged13C ,d13C
-251.0888,0.1113
-251.0683,-0.5267
-251.0375,-0.8541
-251.0238,-0.3589
-251.0192,-1.1312
-251.0032,-1.0095
-250.9964,-0.1071
-250.9804,-1.2362
-250.9758,-0.6653
-250.953,-0.359
-250.9507,-1.2362
-250.9233,-1.2362
-250.9096,-0.6864
-250.9073,-1.8281
-250.8559,-1.5343
-250.8422,-0.1996
-250.8285,-1.8156
-250.7943,-1.6562
-250.7498,-0.1998
-250.7498,-1.7486
-250.7269,-1.7486
-250.7246,-0.267
-250.6778,-1.2744
-250.6664,0.627
-250.5911,-0.1412
-250.5808,-1.5809
-250.5671,-0.1874
-250.5511,-0.561
-250.4963,0.9415
-250.4506,2.9184
-250.4301,2.7421
-250.2326,1.9989
-250.2177,2.5361
-250.0648,4.1518
-250.0636,2.4729
-250.0625,1.709
-249.9232,2.4014
-249.8672,3.2239
-249.8376,2.397
-249.7896,2.0864
-249.6389,2.5604
-249.5716,2.3547
-249.5453,-0.7471
-249.5202,1.8215
-249.43,1.6325
-249.3398,0.9902
-249.2062,0.9103
-249.1914,0.8431
-249.0886,-0.5086
-249.0532,0.5449
-248.8512,0.7461
-248.8512,0.7461
-248.7473,1.8624
-248.7473,1.8624
-248.7313,0.599
-248.6594,1.8665
-248.6594,1.8665
-248.5657,2.3994
-248.5657,2.3994
-248.5007,2.0341
-248.5007,2.0341
-248.4915,0.8463
-248.4676,0.5525
-248.4367,1.757
-248.4367,1.757
-248.4036,-0.0227
-248.3865,1.7821
-248.3865,1.7821
-248.3671,1.7275
-248.3671,1.7275
-248.3602,1.7821
-248.3602,1.7821
-248.3408,0.3676
-248.3294,1.4043
-248.3294,1.4043
-248.2335,1.4839
-248.2335,1.4839
-248.2061,1.635
-248.2061,1.635
-248.1878,1.9329
-248.1878,1.9329
-248.1707,1.6811
-248.1707,1.6811
-248.1324,0.7341
-248.1319,1.4586
-248.1319,1.4586
-248.1159,1.2907
-248.1159,1.2907
-248.1151,1.0827
-248.0942,1.5131
-248.0942,1.5131
-248.0919,1.2272
-248.0714,1.7565
-248.0714,1.7565
-248.0699,1.41
-248.06,1.8572
-248.06,1.8572
-248.0468,2.392
-248.0383,1.853
-248.0383,1.853
-248.0248,1.3845
-248.004,1.9075
-248.004,1.9075
-247.9994,1.4185
-247.9774,1.3547
-247.9732,1.685
-247.9732,1.685
-247.9652,-0.5731
-247.9612,1.2484
-247.9473,1.3887
-247.9298,1.7059
-247.9298,1.7059
-247.9253,1.0444
-247.9114,1.7841
-247.9036,1.8318
-247.9036,1.8318
-247.8802,1.3845
-247.8547,1.6055
-247.851,2.2431
-247.8476,1.8611
-247.8476,1.8611
-247.7803,1.8106
-247.7803,1.8106
-247.7668,1.4907
-247.7494,1.6301
-247.7494,1.6301
-247.7424,1.3036
-247.7255,2.2051
-247.7255,2.2051
-247.7066,1.6607
-247.6855,2.1043
-247.6855,2.1043
-247.6684,1.8945
-247.6059,1.8988
-247.57,2.4174
-247.5451,2.549
-247.5451,2.549
-247.5307,2.851
-247.5018,2.7404
-247.4971,2.3517
-247.4971,2.3517
-247.4709,2.2929
-247.4709,2.2929
-247.3884,3.3441
-247.3784,2.9685
-247.3784,2.9685
-247.3613,3.0608
-247.3613,3.0608
-247.335,3.2413
-247.335,3.2413
-247.3271,3.8414
-247.2877,3.6459
-247.2665,3.4426
-247.2665,3.4426
-247.2507,4.5726
-247.2056,4.4408
-247.1893,3.9434
-247.1866,3.6944
-247.1866,3.6944
-247.1465,4.0327
-247.1044,3.5851
-247.1044,3.5851
-247.1002,3.9986
-247.0759,4.5173
-247.0759,3.9731
-247.0401,3.8923
-247.0377,3.7223
-247.0088,3.7223
-247.003,4.0029
-246.9579,4.4407
-246.9149,3.4631
-246.9149,3.4631
-246.9093,4.3812
-246.8815,4.1856
-246.8653,4.4407
-246.8433,4.2494
-246.8132,3.6457
-246.7889,4.3004
-246.7859,3.4084
-246.7859,3.4084
-246.7531,3.5352
-246.747,3.7357
-246.747,3.7357
-246.674,3.7356
-246.674,3.7356
-246.6038,4.0835
-246.5714,3.6499
-246.5482,3.4586
-246.4925,3.8571
-246.4925,3.8571
-246.279,3.6091
-246.279,3.6091
-246.1802,2.2979
-246.1293,1.6305
-246.0922,1.5965
-246.0448,2.3362
-246.0312,4.0075
-246.0312,4.0075
-245.9962,2.3361
-245.9546,2.4254
-245.9513,3.4114
-245.9513,3.4114
-245.9106,1.6262
-245.8678,2.2893
-245.8634,3.6085
-245.8634,3.6085
-245.8203,2.115
-245.7705,1.894
-245.7641,3.6335
-245.7641,3.6335
-245.7254,1.9535
-245.6734,2.9652
-245.6545,3.3312
-245.6545,3.3312
-245.6259,3.0119
-245.5773,2.4125
-245.5494,3.3352
-245.5494,3.3352
-245.4801,2.3062
-245.4257,1.9831
-245.3678,2.1276
-245.3215,2.0936
-245.2706,2.0639
-245.2243,1.2349
-245.1784,2.491
-245.1784,2.491
-245.1734,1.847
-245.1283,1.9235
-245.0774,1.8767
-245.0288,1.6812
-245.0186,1.9536
-245.0186,1.9536
-244.9778,1.6259
-244.9466,1.5749
